date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,MST.BK,0.27690000000000003,,bmo,549631000.0,,2017-12-31,2023-05-17
2018-01-31,PBIT.CN,-0.006470000000000001,,bmo,,,2018-01-31,2023-10-16
2018-01-31,RISE.CN,-0.13273000000000001,,bmo,,,2018-01-31,2023-05-17
2018-01-31,4503.T,29.87,29.6,bmo,318011000000.0,,2017-10-31,2023-10-17
2018-01-31,9101.T,62.33,17.12,bmo,450775000000.0,,2017-10-31,2023-10-17
2018-01-31,SAN,0.12,,bmo,12895000000.0,,2017-12-31,2023-09-29
2018-01-31,RICOF,17.66,1.96,bmo,,,2018-06-30,2023-05-17
2018-01-31,6547.T,35.88,,bmo,8102438000.0,,2017-10-31,2023-10-16
2018-01-31,7600.T,18.42,,bmo,3787705000.0,,2017-10-31,2023-10-16
2018-01-31,SMBK,0.35000000000000003,0.2,bmo,16491000.0,148410963.0,2017-12-30,2023-09-29
2018-01-31,EPD,0.36,0.35000000000000003,bmo,8426600000.0,8192916666.666667,2017-12-30,2023-09-29
2018-01-31,FUJIY,1.08,0.67,bmo,621744000000.0,,2017-12-31,2023-11-28
2018-01-31,PLNK.CN,0.00088,,bmo,,,2018-01-31,2023-10-16
2018-01-31,002222.SZ,0.07282000000000001,,bmo,108797392.07,,2017-12-30,2023-05-17
2018-01-31,QGEN,0.43,0.42,amc,396863000.0,378439534.8837209,2017-12-31,2023-09-29
2018-01-31,002146.SZ,0.68,0.32,bmo,17017303267.28,,2017-12-30,2023-05-17
2018-01-31,9739.T,29.78,,bmo,9369000000.0,,2017-10-31,2023-10-17
2018-01-31,AFG,2.2,1.6800000000000002,amc,1808000000.0,978981818.1818181,2017-12-30,2023-09-29
2018-01-31,THCT,-0.03526,,bmo,,,2018-01-31,2023-05-17
2018-01-31,QNST,0.07,0.01,amc,87494000.0,12500000.000000004,2017-12-30,2023-09-29
2018-01-31,NVDEF,-0.34198,,bmo,,,2018-01-31,2023-10-12
2018-01-31,CLB,0.58,0.58,amc,171852000.0,170100000.0,2017-12-30,2023-09-29
2018-01-31,4839.T,95.77,,bmo,20628000000.0,,2017-10-31,2023-10-17
